卡牌ID,卡牌名（日文）,卡牌名（中文）,扩展标记,收藏编号,进化阶段/卡牌种类,规则,特殊分类,进化前,HP,属性,弱点,抵抗力,撤退费用,招式/特性名,费用,伤害,效果说明
631,バッフロンex,爆爆头水牛ex,MC,605/742,宝可梦/基础,ex,无,无,220,无,斗,无,2,[特性]阿夫洛防御,无,无,这宝可梦受到招式的伤害「-30」。
631,バッフロンex,爆爆头水牛ex,MC,605/742,宝可梦/基础,ex,无,无,220,无,斗,无,2,戈-鲁多破坏,●●●,100,对手的战斗宝可梦「宝可梦【ex】」的话，100点伤害追加。
632,ワシボン,毛头小鹰,MC,606/742,宝可梦/基础,无,无,无,70,无,雷,斗,1,啄,●,10,无
632,ワシボン,毛头小鹰,MC,606/742,宝可梦/基础,无,无,无,70,无,雷,斗,1,无,●●,20,无
633,ウォーグル,勇士鹰,MC,607/742,宝可梦/1阶进化,无,无,毛头小鹰,140,无,雷,斗,1,无,●,40,硬币1次掷正面的话，40点伤害追加。
633,ウォーグル,勇士鹰,MC,607/742,宝可梦/1阶进化,无,无,毛头小鹰,140,无,雷,斗,1,斯皮-多乌伊恩古,●●●●,130,无
634,トルネロス,龙卷云,MC,610/742,宝可梦/基础,无,无,无,120,无,雷,斗,1,和,●,无,自己的手牌从基本能量卡1张选择，这宝可梦附上。
634,トルネロス,龙卷云,MC,610/742,宝可梦/基础,无,无,无,120,无,雷,斗,1,无,●●●,100,这宝可梦附有基本能量卡1个选择，备战区宝可梦改附。
635,ダイゴのヤジロン,大吾的天秤偶,SVOD,001/018,宝可梦/基础,无,训练家的宝可梦（大吾）,无,60,超,恶,斗,1,萨伊恩,●,无,自己的牌库从【基础】宝可梦的「大吾的宝可梦」最多2张选择，备战区放出。然后洗牌库。
635,ダイゴのヤジロン,大吾的天秤偶,SVOD,001/018,宝可梦/基础,无,训练家的宝可梦（大吾）,无,60,超,恶,斗,1,无,超,20,无
636,ダイゴのネンドール,大吾的念力土偶,SVOD,002/018,宝可梦/1阶进化,无,训练家的宝可梦（大吾）,大吾的天秤偶,120,超,恶,斗,2,无,超,20,对手的战斗宝可梦【混乱】。
636,ダイゴのネンドール,大吾的念力土偶,SVOD,002/018,宝可梦/1阶进化,无,训练家的宝可梦（大吾）,大吾的天秤偶,120,超,恶,斗,2,库光线爆破,超超●,220,这宝可梦附有能量，全部弃牌区。
637,ダイゴのメレシー,大吾的小碎钻,SVOD,003/018,宝可梦/基础,无,训练家的宝可梦（大吾）,无,80,超,钢,无,2,[特性]石帕雷斯,无,无,这宝可梦备战区期间，自己的「大吾的宝可梦」全員，对手的宝可梦从受到招式的伤害「-30」。这个效果，这特性带有宝可梦何只也，不叠加。
637,ダイゴのメレシー,大吾的小碎钻,SVOD,003/018,宝可梦/基础,无,训练家的宝可梦（大吾）,无,80,超,钢,无,2,魔法射击,超●●,80,无
638,ダイゴのエアームド,大吾的盔甲鸟,MC,494/742,宝可梦/基础,无,训练家的宝可梦（大吾）,无,120,钢,雷,斗,1,无,●●,30,无
638,ダイゴのエアームド,大吾的盔甲鸟,MC,494/742,宝可梦/基础,无,训练家的宝可梦（大吾）,无,120,钢,雷,斗,1,兹伊恩索尼库,钢钢●,无,对手的宝可梦2只，各自50点伤害。［备战区弱点・抵抗力不计算。］
639,ダイゴのダンバル,大吾的铁哑铃,SVOD,019/018,宝可梦/基础,无,训练家的宝可梦（大吾）,无,70,钢,火,草,1,撞击,钢●,30,无
640,ダイゴのメタング,大吾的金属怪,SVOD,006/018,宝可梦/1阶进化,无,训练家的宝可梦（大吾）,大吾的铁哑铃,100,钢,火,草,2,金属劈斩,钢●,70,下一个自己的次合，这宝可梦招式不能使用。
641,ダイゴのメタグロスex,大吾的巨金怪ex,SVOD,007/018,宝可梦/2阶进化,ex,训练家的宝可梦（大吾）,大吾的金属怪,340,钢,火,草,3,[特性]艾库斯布-托,无,无,自己的番1次可以使用。自己的牌库从「基本【超】能量」和「基本【钢】能量」各自最多1张选择，自己的【超】【钢】宝可梦以任意方式附上。然后洗牌库。
641,ダイゴのメタグロスex,大吾的巨金怪ex,SVOD,007/018,宝可梦/2阶进化,ex,训练家的宝可梦（大吾）,大吾的金属怪,340,钢,火,草,3,金属斯塔恩普,钢●●,200,无
642,マリィのチョロネコ,玛俐的扒手猫,MC,458/742,宝可梦/基础,无,训练家的宝可梦（玛俐）,无,60,恶,草,无,1,希亚-普内伊鲁,恶,20,对手的战斗宝可梦「宝可梦【ex】」的话，40点伤害追加。
643,マリィのレパルダス,玛俐的酷豹,MC,459/742,宝可梦/1阶进化,无,训练家的宝可梦（玛俐）,玛俐的扒手猫,100,恶,草,无,1,希亚-普爪,恶恶,70,对手的战斗宝可梦「宝可梦【ex】」的话，70点伤害追加。
644,マリィのズルッグ,玛俐的滑头小子,MC,463/742,宝可梦/基础,无,训练家的宝可梦（玛俐）,无,70,恶,草,无,1,无,恶恶●,50,对手的战斗宝可梦附有能量1个选择，弃牌区。
645,マリィのズルズキン,玛俐的头巾混混,MC,464/742,宝可梦/1阶进化,无,训练家的宝可梦（玛俐）,玛俐的滑头小子,120,恶,草,无,2,后踢,恶,40,无
645,マリィのズルズキン,玛俐的头巾混混,MC,464/742,宝可梦/1阶进化,无,训练家的宝可梦（玛俐）,玛俐的滑头小子,120,恶,草,无,2,瓦伊鲁多撞击,恶恶●,160,这宝可梦也对30点伤害。
646,マリィのベロバー,玛俐的捣蛋小妖,SVOM,005/019,宝可梦/基础,无,训练家的宝可梦（玛俐）,无,70,恶,草,无,1,无,●,无,自己的牌库1张抽牌。
646,マリィのベロバー,玛俐的捣蛋小妖,SVOM,005/019,宝可梦/基础,无,训练家的宝可梦（玛俐）,无,70,恶,草,无,1,带有,恶,10,无
647,マリィのギモー,玛俐的诈唬魔,SVOM,006/019,宝可梦/1阶进化,无,训练家的宝可梦（玛俐）,玛俐的捣蛋小妖,100,恶,草,无,1,带有,恶恶,60,无
648,マリィのオーロンゲex,玛俐的长毛巨魔ex,SVOM,007/019,宝可梦/2阶进化,ex,训练家的宝可梦（玛俐）,玛俐的诈唬魔,320,恶,草,无,2,[特性]帕恩库阿普,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。自己的牌库从「基本【恶】能量」最多5张选择，自己的「玛俐的宝可梦」以任意方式附上。然后洗牌库。
648,マリィのオーロンゲex,玛俐的长毛巨魔ex,SVOM,007/019,宝可梦/2阶进化,ex,训练家的宝可梦（玛俐）,玛俐的诈唬魔,320,恶,草,无,2,暗影巴雷托,恶恶,180,对手的备战区宝可梦1只也对，30点伤害。［备战区弱点・抵抗力不计算。］
649,マリィのモルペコ,玛俐的莫鲁贝可,SVOM,020/019,宝可梦/基础,无,训练家的宝可梦（玛俐）,无,70,恶,草,无,无,尖刺霍伊-鲁,●●●,20,这宝可梦附有【恶】能量的数×40点伤害追加。
650,フシギダネ,妙蛙种子,M1L,001/063,宝可梦/基础,无,无,无,80,草,火,无,2,踢,草,10,下一个对手的次合，这个招式受到宝可梦，不能撤退。
651,フシギソウ,妙蛙草,M1L,002/063,宝可梦/1阶进化,无,无,妙蛙种子,110,草,火,无,3,切割,草草,60,无
652,メガフシギバナex,超级妙蛙花ex,M1L,003/063,宝可梦/2阶进化,超级进化ex,无,妙蛙草,380,草,火,无,4,[特性]索-拉-托枪,无,无,自己的番何次在也可以使用。自己的场上的宝可梦附有「基本【草】能量」1个选择，自己的其他宝可梦改附。
652,メガフシギバナex,超级妙蛙花ex,M1L,003/063,宝可梦/2阶进化,超级进化ex,无,妙蛙草,380,草,火,无,4,吉亚恩古鲁达恩普,草草草草,240,这宝可梦的HP「30」恢复。
653,タマタマ,蛋蛋,M1L,004/063,宝可梦/基础,无,无,无,60,草,火,无,1,无,●,无,自己的牌库从「基本【草】能量」1张选择，这宝可梦附上。然后洗牌库。
654,ナッシー,椰蛋树,M1L,005/063,宝可梦/1阶进化,无,无,蛋蛋,140,草,火,无,2,防御压制,草,30,下一个对手的次合，这宝可梦受到招式的伤害「-30」。
654,ナッシー,椰蛋树,M1L,005/063,宝可梦/1阶进化,无,无,蛋蛋,140,草,火,无,2,木斯塔恩普,●●●,60,这宝可梦附有【草】能量的数×30点伤害追加。
655,セレビィ,雪拉比,M1L,006/063,宝可梦/基础,无,无,无,80,草,火,无,1,时,草,无,自己的牌库从【草】宝可梦和竞技场卡合计最多3张选择，给对手查看，加入手牌。然后洗牌库。
655,セレビィ,雪拉比,M1L,006/063,宝可梦/基础,无,无,无,80,草,火,无,1,索-拉-切割,草,30,无
656,タネボー,橡实果,M1L,007/063,宝可梦/基础,无,无,无,60,草,火,无,1,和、,●,无,这宝可梦的HP「20」恢复。
656,タネボー,橡实果,M1L,007/063,宝可梦/基础,无,无,无,60,草,火,无,1,塔内,草●,20,无
657,コノハナ,长鼻叶,M1L,008/063,宝可梦/1阶进化,无,无,橡实果,100,草,火,无,2,拍打,草,30,无
657,コノハナ,长鼻叶,M1L,008/063,宝可梦/1阶进化,无,无,橡实果,100,草,火,无,2,无,草●,50,无
658,ダーテング,狡猾天狗,M1L,009/063,宝可梦/2阶进化,无,无,长鼻叶,160,草,火,无,2,和,草,无,硬币1次掷正面的话，对手的宝可梦1只选择，该宝可梦和，附有全部的卡，对手的牌库放次并洗切。
658,ダーテング,狡猾天狗,M1L,009/063,宝可梦/2阶进化,无,无,长鼻叶,160,草,火,无,2,无,草●,100,对手的战斗宝可梦【混乱】。
659,ロコン,六尾,M1L,010/063,宝可梦/基础,无,无,无,70,火,水,无,1,踩踏,●,10,无
659,ロコン,六尾,M1L,010/063,宝可梦/基础,无,无,无,70,火,水,无,1,火焰,火●,20,无
660,キュウコン,九尾,M1L,011/063,宝可梦/1阶进化,无,无,六尾,120,火,水,无,1,、,●,无,自己的牌库从上方1张弃牌区，该卡支援者卡的话，该效果，这个招式的效果和使用。
660,キュウコン,九尾,M1L,011/063,宝可梦/1阶进化,无,无,六尾,120,火,水,无,1,火焰,火●,60,无
661,ドンメル,呆火驼,M1L,012/063,宝可梦/基础,无,无,无,80,火,水,无,2,呼唤伙伴,火,无,自己的牌库从【基础】宝可梦最多2张选择，备战区放出。然后洗牌库。
661,ドンメル,呆火驼,M1L,012/063,宝可梦/基础,无,无,无,80,火,水,无,2,火,火●●,30,无
662,メガバクーダex,超级喷火驼ex,M1L,013/063,宝可梦/1阶进化,超级进化ex,无,呆火驼,340,火,水,无,4,、,火,80,对手的战斗宝可梦【灼伤】的话，160点伤害追加。
662,メガバクーダex,超级喷火驼ex,M1L,013/063,宝可梦/1阶进化,超级进化ex,无,呆火驼,340,火,水,无,4,博鲁凯-诺梅特欧,火●●●,280,这宝可梦附有能量2个选择，弃牌区。
663,ボルケニオン,波尔凯尼恩,M1L,014/063,宝可梦/基础,无,无,无,130,火,水,无,2,无,火,无,对手的战斗宝可梦【灼伤】。
663,ボルケニオン,波尔凯尼恩,M1L,014/063,宝可梦/基础,无,无,无,130,火,水,无,2,巴库火焰鸟,火火●,130,这宝可梦附有【火】能量2个选择，手牌放次。
664,ヒバニー,炎兔儿,M1L,015/063,宝可梦/基础,无,无,无,70,火,水,无,1,踢,●,30,硬币1次掷反面的话，这个招式失败。
665,ラビフット,腾蹴小将,M1L,016/063,宝可梦/1阶进化,无,无,炎兔儿,100,火,水,无,1,吉亚恩普踢,●,无,对手的宝可梦1只，40点伤害。［备战区弱点・抵抗力不计算。］
666,エースバーン,闪焰王牌,M1L,017/063,宝可梦/2阶进化,无,无,腾蹴小将,160,火,水,无,无,[特性],无,无,对战准备在宝可梦战斗场放出时，这卡手牌的话，反面战斗场放出可以。
666,エースバーン,闪焰王牌,M1L,017/063,宝可梦/2阶进化,无,无,腾蹴小将,160,火,水,无,无,烈焰塔-博,●,50,自己的牌库从基本能量卡最多3张选择，备战区宝可梦以任意方式附上。然后洗牌库。
667,ヘイガニ,龙虾小兵,M1L,018/063,宝可梦/基础,无,无,无,80,水,雷,无,2,无,●,10,无
667,ヘイガニ,龙虾小兵,M1L,018/063,宝可梦/基础,无,无,无,80,水,雷,无,2,和,●●,30,这宝可梦也对10点伤害。
668,コレクレー,索财灵,MC,356/742,宝可梦/基础,无,无,无,70,超,恶,斗,2,比恩塔,●,10,无
669,サンド,穿山鼠,M1L,020/063,宝可梦/基础,无,无,无,70,斗,草,无,1,兹梅,●,10,无
669,サンド,穿山鼠,M1L,020/063,宝可梦/基础,无,无,无,70,斗,草,无,1,无,斗●,20,无
670,サンドパン,穿山王,M1L,021/063,宝可梦/1阶进化,无,无,穿山鼠,120,斗,草,无,1,无,●●,50,下一个对手的次合，这个招式受到宝可梦使用招式时，对手硬币1次掷。反面的话该招式失败。
670,サンドパン,穿山王,M1L,021/063,宝可梦/1阶进化,无,无,穿山鼠,120,斗,草,无,1,玛多射击,斗●●,100,无
671,イワーク,大岩蛇,M1L,022/063,宝可梦/基础,无,无,无,120,斗,草,无,4,踢,●●,30,硬币1次掷正面的话，对手的战斗宝可梦【麻痹】。
671,イワーク,大岩蛇,M1L,022/063,宝可梦/基础,无,无,无,120,斗,草,无,4,无,●●●●,100,无
672,バルキー,巴尔郎,M1L,023/063,宝可梦/基础,无,无,无,30,斗,超,无,无,博卡博卡,0费用,10,反面出最多掷硬币，正面的数×30点伤害追加。
673,マクノシタ,幕下力士,M1L,024/063,宝可梦/基础,无,无,无,80,斗,超,无,2,带有,斗,10,无
673,マクノシタ,幕下力士,M1L,024/063,宝可梦/基础,无,无,无,80,斗,超,无,2,无,斗斗,30,无
674,ハリテヤマ,超力王,M1L,025/063,宝可梦/1阶进化,无,无,幕下力士,150,斗,超,无,3,[特性]基亚奇亚-,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。对手的备战区宝可梦1只选择，战斗宝可梦和互换。
674,ハリテヤマ,超力王,M1L,025/063,宝可梦/1阶进化,无,无,幕下力士,150,斗,超,无,3,瓦伊鲁多压制,斗斗斗,210,这宝可梦也对70点伤害。
675,ルナトーン,月石,MC,371/742,宝可梦/基础,无,无,无,110,斗,草,无,1,[特性]鲁纳萨伊库鲁,无,无,自己的场上方「太阳岩」，自己的番，自己的手牌从「基本【斗】能量」1张弃牌区的话，1次可以使用。自己的牌库3张抽牌。这个特性其他「鲁纳萨伊库鲁」使用过番不能使用。
675,ルナトーン,月石,MC,371/742,宝可梦/基础,无,无,无,110,斗,草,无,1,力量吉艾姆,斗斗,50,无
676,ソルロック,太阳岩,MC,372/742,宝可梦/基础,无,无,无,110,斗,草,无,1,科斯莫光束,斗,70,自己的备战区「月石」的话，这个招式失败。这招式的伤害弱点・抵抗力不计算。
677,リオル,利欧路,M2a,091/193,宝可梦/基础,无,无,无,80,斗,超,无,2,无,斗,30,下一个自己的次合，这宝可梦「」不能使用。
678,メガルカリオex,超级路卡利欧ex,M2a,092/193,宝可梦/1阶进化,超级进化ex,无,利欧路,340,斗,超,无,2,无,斗,130,自己的弃牌区从「基本【斗】能量」最多3张选择，备战区宝可梦以任意方式附上。
678,メガルカリオex,超级路卡利欧ex,M2a,092/193,宝可梦/1阶进化,超级进化ex,无,利欧路,340,斗,超,无,2,超级勇猛,斗斗,270,下一个自己的次合，这宝可梦「超级勇猛」不能使用。
679,グレッグル,不良蛙,MC,382/742,宝可梦/基础,无,无,无,70,斗,超,无,1,无,斗,20,无
680,ドクロッグ,毒骷蛙,MC,384/742,宝可梦/1阶进化,无,无,不良蛙,130,斗,超,无,1,突击,斗,70,这宝可梦也对20点伤害。
681,マーシャドー,玛夏多,MC,408/742,宝可梦/基础,无,无,无,90,斗,超,无,1,暗影索巴托,斗斗,60,这招式的伤害在，对手的宝可梦【昏厥】的话，下一个对手的次合，这宝可梦招式的伤害和效果不受。
682,イシヘンジン,巨石丁,MC,414/742,宝可梦/基础,无,无,无,130,斗,草,无,2,石踢,斗,20,对手的备战区宝可梦1只也对，20点伤害。［备战区弱点・抵抗力不计算。］
682,イシヘンジン,巨石丁,MC,414/742,宝可梦/基础,无,无,无,130,斗,草,无,2,从,斗斗●,140,下一个自己的次合，这宝可梦招式不能使用。
683,コジオ,盐石宝,MC,416/742,宝可梦/基础,无,无,无,70,斗,草,无,2,撞击,●,10,无
684,ジオヅム,盐石垒,MC,417/742,宝可梦/1阶进化,无,无,盐石宝,110,斗,草,无,3,和,斗●,50,这招式的伤害抵抗力不计算。
685,キョジオーン,盐石巨灵,MC,418/742,宝可梦/2阶进化,无,无,盐石垒,180,斗,草,无,4,[特性]从的,无,无,这宝可梦期间，自己的【斗】宝可梦使用招式的，对手的战斗宝可梦对伤害「+30」。
685,キョジオーン,盐石巨灵,MC,418/742,宝可梦/2阶进化,无,无,盐石垒,180,斗,草,无,4,猛撞,斗斗●,130,无
686,シザリガー,铁螯龙虾,M1L,037/063,宝可梦/1阶进化,无,无,龙虾小兵,130,恶,草,无,3,无,●,30,无
686,シザリガー,铁螯龙虾,M1L,037/063,宝可梦/1阶进化,无,无,龙虾小兵,130,恶,草,无,3,、希扎-,恶恶●,130,这个招式，这宝可梦伤害指示物放置有的话，【恶】能量1个在可以使用。
687,メガアブソルex,超级阿勃梭鲁ex,M1L,038/063,宝可梦/基础,超级进化ex,无,无,280,恶,草,无,2,德斯皮利欧多,恶●,无,对手的战斗宝可梦放置有伤害指示物6个的话，该宝可梦【昏厥】。
687,メガアブソルex,超级阿勃梭鲁ex,M1L,038/063,宝可梦/基础,超级进化ex,无,无,280,恶,草,无,2,恶的,恶恶●,200,对手的手牌查看，该其中从卡1张选择，弃牌区。
688,ミカルゲ,花岩怪,MC,455/742,宝可梦/基础,无,无,无,80,恶,草,无,1,[特性]的,无,无,这宝可梦期间，自己的战斗场的【恶】宝可梦，对手的宝可梦从招式的伤害受到时，招式使用过宝可梦伤害指示物1个放置。
688,ミカルゲ,花岩怪,MC,455/742,宝可梦/基础,无,无,无,80,恶,草,无,1,、,恶,10,对手的牌库从上方1张弃牌区。
689,イベルタル,伊裴尔塔尔,MC,481/742,宝可梦/基础,无,无,无,110,恶,雷,斗,无,无,恶,20,下一个对手的次合，这个招式受到宝可梦，不能撤退。
689,イベルタル,伊裴尔塔尔,MC,481/742,宝可梦/基础,无,无,无,110,恶,雷,斗,无,黑暗羽毛,恶恶●,110,无
690,クスネ,狡小狐,M1L,041/063,宝可梦/基础,无,无,无,70,恶,草,无,1,、的基巴,恶,20,无
691,フォクスライ,猾大狐,M1L,042/063,宝可梦/1阶进化,无,无,狡小狐,120,恶,草,无,1,狩猎,●,20,可以选择，自己的手牌6张，从牌库抽牌。
691,フォクスライ,猾大狐,M1L,042/063,宝可梦/1阶进化,无,无,狡小狐,120,恶,草,无,1,的基巴,恶●,60,无
692,シルシュルー,滋汁鼹,M1L,043/063,宝可梦/基础,无,无,无,60,恶,斗,无,1,其中毒,恶●,20,对手的战斗宝可梦【其中毒】。
693,タギングル,涂标客,M1L,044/063,宝可梦/1阶进化,无,无,滋汁鼹,100,恶,斗,无,1,奇迹痛苦托,恶●,90,硬币1次掷正面的话，特殊状态的其中从1选择，对手的战斗宝可梦该状态。
694,ハガネール,大钢蛇,M1L,045/063,宝可梦/1阶进化,无,无,大岩蛇,200,钢,火,草,4,乌艾鲁卡姆尾巴,●●,40,自己的奖赏卡的剩余张数6张的话，200点伤害追加。
694,ハガネール,大钢蛇,M1L,045/063,宝可梦/1阶进化,无,无,大岩蛇,200,钢,火,草,4,火箭头锤,钢钢●●,140,无
695,メガクチートex,超级大嘴娃ex,M1L,046/063,宝可梦/基础,超级进化ex,无,无,270,钢,火,草,2,带有,钢钢,80×,自己已经和奖赏卡的张数×80点伤害。
695,メガクチートex,超级大嘴娃ex,M1L,046/063,宝可梦/基础,超级进化ex,无,无,270,钢,火,草,2,比古咬击,钢钢●,260,对手的战斗宝可梦伤害指示物放置有的话，这招式的伤害「30」。
696,ディアルガ,帝牙卢卡,MC,502/742,宝可梦/基础,无,无,无,140,钢,火,草,2,光束,钢,30,无
696,ディアルガ,帝牙卢卡,MC,502/742,宝可梦/基础,无,无,无,140,钢,火,草,2,库洛诺巴-斯托,钢钢●,80,可以选择，这宝可梦附有能量全部牌库也对切，80点伤害追加。
697,カヌチャン,小锻匠,MC,528/742,宝可梦/基础,无,无,无,70,钢,火,草,1,拍打,钢,20,无
698,ナカヌチャン,巧锻匠,MC,529/742,宝可梦/1阶进化,无,无,小锻匠,90,钢,火,草,2,[特性]在和锤,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。硬币1次掷正面的话，对手的战斗宝可梦附有能量1个选择，弃牌区。
698,ナカヌチャン,巧锻匠,MC,529/742,宝可梦/1阶进化,无,无,小锻匠,90,钢,火,草,2,无,钢,30,无
699,デカヌチャン,巨锻匠,MC,530/742,宝可梦/2阶进化,无,无,巧锻匠,160,钢,火,草,2,斯伊恩古,钢,-240,对手的战斗宝可梦附有能量的数×60点伤害份，这招式的伤害小。
700,サーフゴー,赛富豪,MC,535/742,宝可梦/1阶进化,无,无,索财灵,130,钢,火,草,2,无,●,无,反面出最多掷硬币，正面的数份最多，自己的牌库从任意卡牌选择，加入手牌。然后洗牌库。
700,サーフゴー,赛富豪,MC,535/742,宝可梦/1阶进化,无,无,索财灵,130,钢,火,草,2,斯皮-多阿塔库,钢●●,100,无
701,オニスズメ,烈雀,MC,557/742,宝可梦/基础,无,无,无,60,无,雷,斗,1,无,●,10,伤害造成之前，对手的战斗宝可梦附有「宝可梦道具」弃牌区。
702,オニドリル,大嘴雀,MC,558/742,宝可梦/1阶进化,无,无,烈雀,100,无,雷,斗,1,玛希恩嘎恩多利鲁,●,30×,硬币5次掷，正面的数×30点伤害。
703,ミルタンク,大奶罐,MC,578/742,宝可梦/基础,无,无,无,120,无,斗,无,2,米鲁库,●●,无,硬币2次掷，全部正面的话，自己的宝可梦1只的HP，全部恢复。
703,ミルタンク,大奶罐,MC,578/742,宝可梦/基础,无,无,无,120,无,斗,无,2,撞击,●●●,60,无
704,ヤングース,猫鼬少,M1L,055/063,宝可梦/基础,无,无,无,70,无,斗,无,1,取来,●,无,自己的牌库1张抽牌。
704,ヤングース,猫鼬少,M1L,055/063,宝可梦/基础,无,无,无,70,无,斗,无,1,啃咬,●●,20,无
705,デカグース,猫鼬探长,M1L,056/063,宝可梦/1阶进化,无,无,猫鼬少,100,无,斗,无,1,[特性],无,无,自己的番1次可以使用。自己的手牌1张选择，牌库的上的卡和互换。
705,デカグース,猫鼬探长,M1L,056/063,宝可梦/1阶进化,无,无,猫鼬少,100,无,斗,无,1,咬住,●●,50,无
706,モンジャラ,蔓藤怪,M1S,001/063,宝可梦/基础,无,无,无,80,草,火,无,2,其中毒的,草,无,对手的战斗宝可梦【其中毒】。
706,モンジャラ,蔓藤怪,M1S,001/063,宝可梦/基础,无,无,无,80,草,火,无,2,钩抓,草●●,30,无
707,モジャンボ,巨蔓藤,M1S,002/063,宝可梦/1阶进化,无,无,蔓藤怪,150,草,火,无,4,吸取,草●,30,这宝可梦的HP「30」恢复。
707,モジャンボ,巨蔓藤,M1S,002/063,宝可梦/1阶进化,无,无,蔓藤怪,150,草,火,无,4,姆基姆基乌伊普,草草●●,120,这个招式使用所需的能量比，2个多能量附有的话，140点伤害追加。
708,チコリータ,菊草叶,M1S,003/063,宝可梦/基础,无,无,无,70,草,火,无,1,切割,草,20,无
709,ベイリーフ,月桂叶,M1S,004/063,宝可梦/1阶进化,无,无,菊草叶,110,草,火,无,2,顶撞,草●,50,对手的战斗宝可梦备战区宝可梦和互换。［战斗场放出宝可梦对手选择。］
710,メガニウム,大菊花,M1S,005/063,宝可梦/2阶进化,无,无,月桂叶,160,草,火,无,2,[特性],无,无,这宝可梦期间，自己的宝可梦全員附有「基本【草】能量」，各自【草】能量2个和生效。这个特性的效果不叠加。
710,メガニウム,大菊花,M1S,005/063,宝可梦/2阶进化,无,无,月桂叶,160,草,火,无,2,日光束,草草●●,140,无
711,ツボツボ,壶壶,MC,023/742,宝可梦/基础,无,无,无,80,草,火,无,1,[特性]吉尤-斯,无,无,这宝可梦【草】能量附有的话，自己的番1次可以使用。自己的宝可梦1只的HP「30」恢复。
711,ツボツボ,壶壶,MC,023/742,宝可梦/基础,无,无,无,80,草,火,无,1,无,草●,30,无
712,ツチニン,土居忍士,M1S,007/063,宝可梦/基础,无,无,无,50,草,火,无,1,抓,●,20,无
713,テッカニン,铁面忍者,M1S,008/063,宝可梦/1阶进化,无,无,土居忍士,80,草,火,无,无,[特性]从,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。自己的牌库从「脱壳忍者」1张选择，备战区放出。然后洗牌库。
713,テッカニン,铁面忍者,M1S,008/063,宝可梦/1阶进化,无,无,土居忍士,80,草,火,无,无,和,草●,90,这宝可梦备战区宝可梦和互换。
714,ダダリン,破破舵轮,M1S,009/063,宝可梦/基础,无,无,无,120,草,火,无,2,古拉乌恩多力量,草●,30,场上自己的竞技场卡出的话，50点伤害追加。
715,シシコ,小狮狮,M1S,010/063,宝可梦/基础,无,无,无,70,火,水,无,2,火,火●,30,无
716,カエンジシ,火炎狮,M1S,011/063,宝可梦/1阶进化,无,无,小狮狮,130,火,水,无,2,[特性]的基巴,无,无,这宝可梦战斗场期间，对手的战斗宝可梦使用招式的伤害「-30」。
716,カエンジシ,火炎狮,M1S,011/063,宝可梦/1阶进化,无,无,小狮狮,130,火,水,无,2,、,火●●,70,对手的战斗宝可梦【灼伤】。
717,ヤクデ,烧火蚣,M1S,012/063,宝可梦/基础,无,无,无,80,火,水,无,2,撞击,火,10,无
717,ヤクデ,烧火蚣,M1S,012/063,宝可梦/基础,无,无,无,80,火,水,无,2,火焰,火火●,50,无
718,マルヤクデ,焚焰蚣,M1S,013/063,宝可梦/1阶进化,无,无,烧火蚣,140,火,水,无,3,粉碎,●●,50,硬币2次掷，正面的数份，对手的战斗宝可梦附有能量选择，弃牌区。
718,マルヤクデ,焚焰蚣,M1S,013/063,宝可梦/1阶进化,无,无,烧火蚣,140,火,水,无,3,热爪拉-,火火●●,140,无
719,イーユイ,古玉鱼,M1S,014/063,宝可梦/基础,无,无,无,110,火,水,无,1,、带有,火,40,场上出对手的竞技场卡弃牌区。弃牌区情况，下一个对手的次合，对手手牌从竞技场卡出。
720,マンタイン,巨翅飞鱼,MC,173/742,宝可梦/基础,无,无,无,110,水,雷,无,1,呼唤伙伴,●,无,自己的牌库从【基础】宝可梦最多2张选择，备战区放出。然后洗牌库。
720,マンタイン,巨翅飞鱼,MC,173/742,宝可梦/基础,无,无,无,110,水,雷,无,1,的,水●,50,无
721,カイオーガ,盖欧卡,M1S,016/063,宝可梦/基础,无,无,无,150,水,雷,无,3,无,水,20×,自己的弃牌区「基本【水】能量」全部对手展示，该张数×20点伤害。之后，展示能量牌库放次并洗切。
721,カイオーガ,盖欧卡,M1S,016/063,宝可梦/基础,无,无,无,150,水,雷,无,3,无,水水●,130,这宝可梦附有能量2个选择，弃牌区。
722,ユキカブリ,雪笠怪,M1S,017/063,宝可梦/基础,无,无,无,90,水,钢,无,3,拍打,水,10,无
722,ユキカブリ,雪笠怪,M1S,017/063,宝可梦/基础,无,无,无,90,水,钢,无,3,雪冰,水水,30,无
723,メガユキノオーex,超级暴雪王ex,M1S,018/063,宝可梦/1阶进化,超级进化ex,无,雪笠怪,350,水,钢,无,4,阿巴拉恩奇锤,水水,100×,自己的牌库从上方6张弃牌区，该其中「基本【水】能量」的张数×100点伤害。
723,メガユキノオーex,超级暴雪王ex,M1S,018/063,宝可梦/1阶进化,超级进化ex,无,雪笠怪,350,水,钢,无,4,夫洛斯托屏障,水水水,200,下一个对手的次合，这宝可梦受到招式的伤害「-30」。
724,ウデッポウ,铁臂枪虾,M1S,019/063,宝可梦/基础,无,无,无,80,水,雷,无,2,飞溅,水水,50,无
